term,count
msearchsplitpan,15
originalstart,15
mtexttransl,15
getpatternchild,15
itemstatechang,15
nodefontfamili,15
isdirti,15
getinstanciationmethod,15
touch,15
printer,15
servercommun,15
monitor,15
gif,15
explor,15
polici,15
applet,15
xhtmlwriter,15
setlocal,15
revertact,15
transfact,15
eras,15
getdisplaynam,15
lesser,15
getmindmapmapmodel,15
xdimens,15
editlong,15
gridlayout,15
mchild1,15
gettyp,15
pisselect,15
begin,15
pagenumb,15
timelist,15
son,15
applypatternact,15
ismacosx,15
getundoact,15
it2,15
addiconact,15
xpad,15
mparent,15
micon,15
removeact,15
childcount,15
reduc,15
mapcont,15
controllerbox,14
jcondit,14
preader,14
hasstartarrow,14
leav,14
aid,14
decorationbackgroundvis,14
xsltfilenam,14
xcoord,14
pluginbas,14
fileread,14
motionlistenerview,14
newattribut,14
geticonheight,14
erasepattern,14
loadtre,14
reminduserat,14
setcursor,14
angl,14
commandhandl,14
ppattern,14
monthyearpanel,14
newchild,14
restrictionmodel,14
fileprefix,14
kai,14
unicodetohtmlunicodeent,14
additemlisten,14
directorynam,14
badlocationexcept,14
executescript,14
getcolumnclass,14
issav,14
newrow,14
text2,14
insertrow,14
stylepatternframetyp,14
fillrect,14
notifi,14
dist,14
sun,14
cooki,14
parg0,14
getvectorwithsingleel,14
gettoolbar,14
attributetablemodel,14
formlayout,14
getmenuitem,14
hasendarrow,14
mapfiletobeexport,14
deep,14
untag,14
transferdata,14
black,14
boldact,14
renderercompon,14
cycl,14
firepropertychangeev,14
dy2,14
xmlsourc,14
field1,14
borderfactori,14
importnod,14
geteditcontrol,14
nodehookadapt,14
revis,14
written,14
insensit,14
repaintselect,14
setroot,14
mkeynam,14
jtablehead,14
changelisten,14
outer,14
lastchildnumb,14
processkeybind,14
registryattributevalueactor,14
conditionbuttonbox,14
instmethod,14
atid,14
pdftranscod,14
documenttext,14
getstr,14
bird,14
movenodeact,14
pport,14
inputstr,14
filtercontrol,14
gettablehead,14
screeninset,14
dndconstant,14
fail,14
iconindex,14
destinationfilenam,14
newinst,14
ycoordin,14
getcursorposit,14
xsltsourc,14
poutstream,14
dx1,14
newitem,14
setwidth,14
previouss,14
contentpreferreds,14
probabl,14
func,14
pend,14
loadpattern,14
addkeylisten,14
processunfinishedlink,14
jpg,14
actionfilt,14
adaptedtext,14
sundayforeground,14
mindmapnodepair,14
underlinedact,14
italicact,14
dx2,14
isrun,14
runtimeexcept,14
fontsizeact,14
dy1,14
setlookandfeel,14
myselect,14
